Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
30-Nov-2021,08:10,"23,475.26",-17.22,-0.07%,"23,475.26","23,475.26","23,475.26","1,166,956,893"
30-Nov-2021,08:05,"23,492.48",+3.57,+0.02%,"23,492.48","23,492.48","23,492.48","544,200"
30-Nov-2021,08:00,"23,488.91",-2.83,-0.01%,"23,495.09","23,474.07","23,499.90","62,436,767"
30-Nov-2021,07:55,"23,491.74",-6.56,-0.03%,"23,495.11","23,488.79","23,519.86","52,028,077"
30-Nov-2021,07:50,"23,498.30",+17.99,+0.08%,"23,477.65","23,471.42","23,501.11","51,791,908"
30-Nov-2021,07:45,"23,480.31",+21.81,+0.09%,"23,458.17","23,453.51","23,486.81","45,204,108"
30-Nov-2021,07:40,"23,458.50",+38.60,+0.16%,"23,424.01","23,417.22","23,458.50","39,786,555"
30-Nov-2021,07:35,"23,419.90",+5.74,+0.02%,"23,414.67","23,414.67","23,442.25","28,569,255"
30-Nov-2021,07:30,"23,414.16",-27.84,-0.12%,"23,442.38","23,404.21","23,442.38","44,537,168"
30-Nov-2021,07:25,"23,442.00",+25.78,+0.11%,"23,420.37","23,417.96","23,475.17","36,316,341"
30-Nov-2021,07:20,"23,416.22",+13.61,+0.06%,"23,403.98","23,399.75","23,431.42","47,516,378"
30-Nov-2021,07:15,"23,402.61",-8.39,-0.04%,"23,412.07","23,389.36","23,412.07","25,451,580"
30-Nov-2021,07:10,"23,411.00",+64.93,+0.28%,"23,344.08","23,341.25","23,411.00","37,936,216"
30-Nov-2021,07:05,"23,346.07",+27.14,+0.12%,"23,319.41","23,300.87","23,348.97","37,849,551"
30-Nov-2021,07:00,"23,318.93",-24.12,-0.10%,"23,339.93","23,318.93","23,352.54","20,359,759"
30-Nov-2021,06:55,"23,343.05",+5.92,+0.03%,"23,338.21","23,335.14","23,353.81","28,416,358"
30-Nov-2021,06:50,"23,337.13",+13.44,+0.06%,"23,326.92","23,314.24","23,341.30","52,720,003"
30-Nov-2021,06:45,"23,323.69",+15.43,+0.07%,"23,307.36","23,302.11","23,326.29","25,873,508"
30-Nov-2021,06:40,"23,308.26",+9.58,+0.04%,"23,298.17","23,294.22","23,323.27","31,293,315"
30-Nov-2021,06:35,"23,298.68",+6.17,+0.03%,"23,289.81","23,285.58","23,319.08","20,397,206"
30-Nov-2021,06:30,"23,292.51",-25.80,-0.11%,"23,321.16","23,284.88","23,321.16","19,711,386"
30-Nov-2021,06:25,"23,318.31",+56.69,+0.24%,"23,264.53","23,255.84","23,344.54","36,141,259"
30-Nov-2021,06:20,"23,261.62",+52.83,+0.23%,"23,208.38","23,202.43","23,272.18","40,084,075"
30-Nov-2021,06:15,"23,208.79",+28.61,+0.12%,"23,179.90","23,175.37","23,208.79","37,131,667"
30-Nov-2021,06:10,"23,180.18",-65.08,-0.28%,"23,247.61","23,180.18","23,248.41","58,868,695"
30-Nov-2021,06:05,"23,245.26",-57.01,-0.24%,"23,298.79","23,243.37","23,301.22","60,365,669"
30-Nov-2021,06:00,"23,302.27",-24.74,-0.11%,"23,327.15","23,299.66","23,331.26","25,342,362"
30-Nov-2021,05:55,"23,327.01",-0.83,-0.00%,"23,329.91","23,322.79","23,347.80","23,547,638"
30-Nov-2021,05:50,"23,327.84",+4.61,+0.02%,"23,321.43","23,291.75","23,327.84","47,711,636"
30-Nov-2021,05:45,"23,323.23",-47.95,-0.21%,"23,370.82","23,319.47","23,370.82","26,707,065"
30-Nov-2021,05:40,"23,371.18",-45.06,-0.19%,"23,416.64","23,356.82","23,416.64","24,321,534"
30-Nov-2021,05:35,"23,416.24",+6.87,+0.03%,"23,406.19","23,398.54","23,423.15","21,844,101"
