30-Dec-2021,06:50,"23,108.05",+23.36,+0.10%,"23,076.40","23,068.71","23,112.45","10,072,318"
30-Dec-2021,06:45,"23,084.69",+6.69,+0.03%,"23,070.07","23,070.07","23,086.27","10,152,069"
30-Dec-2021,06:40,"23,078.00",+16.61,+0.07%,"23,053.22","23,053.22","23,080.46","18,728,491"
30-Dec-2021,06:35,"23,061.39",+23.09,+0.10%,"23,031.94","23,030.88","23,061.39","10,156,150"
30-Dec-2021,06:30,"23,038.30",+6.55,+0.03%,"23,030.35","23,029.61","23,043.55","14,466,249"
30-Dec-2021,06:25,"23,031.75",+5.11,+0.02%,"23,023.11","23,017.54","23,037.83","33,579,178"
30-Dec-2021,06:20,"23,026.64",-2.32,-0.01%,"23,029.04","23,024.80","23,038.53","7,722,735"
30-Dec-2021,06:15,"23,028.96",-8.76,-0.04%,"23,029.73","23,023.21","23,037.97","8,206,173"
30-Dec-2021,06:10,"23,037.72",+18.44,+0.08%,"23,015.30","23,010.87","23,041.70","10,748,452"
30-Dec-2021,06:05,"23,019.28",-15.75,-0.07%,"23,030.18","23,014.03","23,036.15","15,741,021"
30-Dec-2021,06:00,"23,035.03",+5.42,+0.02%,"23,021.49","23,021.02","23,040.36","10,263,491"
30-Dec-2021,05:55,"23,029.61",+25.28,+0.11%,"22,999.41","22,998.58","23,029.61","7,992,300"
30-Dec-2021,05:50,"23,004.33",-4.60,-0.02%,"23,004.98","22,990.24","23,010.18","9,067,909"
30-Dec-2021,05:45,"23,008.93",-8.47,-0.04%,"23,017.73","22,998.76","23,026.09","12,050,909"
30-Dec-2021,05:40,"23,017.40",-19.96,-0.09%,"23,027.32","22,993.51","23,027.32","12,441,482"
30-Dec-2021,05:35,"23,037.36",-34.06,-0.15%,"23,065.53","23,036.32","23,069.84","13,701,778"
30-Dec-2021,05:30,"23,071.42",-23.11,-0.10%,"23,086.29","23,064.76","23,089.44","11,353,078"
30-Dec-2021,05:25,"23,094.53",-12.98,-0.06%,"23,097.65","23,086.11","23,104.90","7,232,707"
30-Dec-2021,05:20,"23,107.51",-4.73,-0.02%,"23,107.62","23,100.69","23,112.65","10,019,428"
30-Dec-2021,05:15,"23,112.24",-11.28,-0.05%,"23,117.88","23,107.55","23,121.08","6,016,588"
30-Dec-2021,05:10,"23,123.52",-15.49,-0.07%,"23,129.83","23,118.91","23,134.04","8,246,584"
30-Dec-2021,05:05,"23,139.01",+4.13,+0.02%,"23,131.43","23,131.43","23,142.82","13,121,657"
30-Dec-2021,04:10,"23,134.88",0.00,0.00%,"23,134.88","23,134.88","23,134.88",0
30-Dec-2021,04:05,"23,134.88",-6.68,-0.03%,"23,134.88","23,134.88","23,134.88","700,950"
30-Dec-2021,04:00,"23,141.56",+12.95,+0.06%,"23,123.35","23,120.70","23,141.72","10,810,487"
30-Dec-2021,03:55,"23,128.61",+10.86,+0.05%,"23,112.30","23,103.23","23,135.12","8,687,886"
30-Dec-2021,03:50,"23,117.75",-6.73,-0.03%,"23,117.25","23,117.25","23,130.13","6,819,843"
30-Dec-2021,03:45,"23,124.48",-2.63,-0.01%,"23,123.16","23,119.97","23,134.03","6,976,034"
30-Dec-2021,03:40,"23,127.11",+0.11,+0.00%,"23,121.97","23,114.88","23,129.72","7,421,949"
30-Dec-2021,03:35,"23,127.00",+1.24,+0.01%,"23,122.29","23,119.92","23,132.05","17,540,584"
30-Dec-2021,03:30,"23,125.76",-23.09,-0.10%,"23,141.71","23,124.37","23,147.17","13,804,625"
30-Dec-2021,03:25,"23,148.85",-11.55,-0.05%,"23,157.82","23,145.60","23,161.77","11,383,236"
30-Dec-2021,03:20,"23,160.40",-7.48,-0.03%,"23,161.75","23,152.17","23,164.86","9,542,592"
30-Dec-2021,03:15,"23,167.88",-31.01,-0.13%,"23,189.78","23,159.82","23,196.50","11,014,735"
30-Dec-2021,03:10,"23,198.89",-0.59,-0.00%,"23,193.72","23,186.26","23,204.03","6,466,075"
30-Dec-2021,03:05,"23,199.48",+13.51,+0.06%,"23,178.06","23,174.98","23,200.10","18,969,176"
30-Dec-2021,03:00,"23,185.97",-1.74,-0.01%,"23,180.30","23,173.05","23,187.81","14,840,413"
30-Dec-2021,02:55,"23,187.71",-15.95,-0.07%,"23,196.47","23,184.77","23,200.05","10,919,688"
30-Dec-2021,02:50,"23,203.66",-10.59,-0.05%,"23,209.86","23,196.48","23,219.15","11,895,445"
30-Dec-2021,02:45,"23,214.25",-28.69,-0.12%,"23,234.68","23,213.48","23,246.87","19,985,429"
30-Dec-2021,02:40,"23,242.94",+8.75,+0.04%,"23,227.85","23,227.12","23,248.26","12,469,488"
30-Dec-2021,02:35,"23,234.19",+7.60,+0.03%,"23,217.07","23,217.07","23,238.29","16,135,933"
30-Dec-2021,02:30,"23,226.59",+23.60,+0.10%,"23,198.24","23,198.24","23,228.93","9,055,508"
30-Dec-2021,02:25,"23,202.99",+21.71,+0.09%,"23,175.13","23,170.30","23,204.92","7,687,150"
30-Dec-2021,02:20,"23,181.28",+18.94,+0.08%,"23,155.56","23,154.46","23,185.84","7,918,270"
30-Dec-2021,02:15,"23,162.34",-31.47,-0.14%,"23,187.83","23,156.33","23,191.43","8,563,462"
30-Dec-2021,02:10,"23,193.81",-8.85,-0.04%,"23,196.67","23,192.83","23,205.12","10,442,886"
30-Dec-2021,02:05,"23,202.66",-6.23,-0.03%,"23,204.09","23,185.44","23,204.64","13,681,999"
30-Dec-2021,02:00,"23,208.89",-4.74,-0.02%,"23,206.75","23,201.70","23,220.78","7,693,588"
30-Dec-2021,01:55,"23,213.63",+9.98,+0.04%,"23,197.76","23,191.21","23,221.95","16,330,164"
30-Dec-2021,01:50,"23,203.65",-3.09,-0.01%,"23,191.08","23,185.39","23,215.48","12,496,615"
30-Dec-2021,01:45,"23,206.74",+56.31,+0.24%,"23,145.41","23,142.48","23,218.97","21,540,075"
30-Dec-2021,01:40,"23,150.43",+79.20,+0.34%,"23,073.25","23,058.46","23,172.53","20,149,847"
30-Dec-2021,01:35,"23,071.23",-59.22,-0.26%,"23,116.42","23,050.40","23,123.64","22,126,128"
30-Dec-2021,01:25,"23,130.45",+43.91,+0.19%,"23,130.45","23,130.45","23,130.45","20,830,642"
29-Dec-2021,08:10,"23,086.54",+24.49,+0.11%,"23,086.54","23,086.54","23,086.54","91,889,762"
29-Dec-2021,08:05,"23,062.05",+0.72,+0.00%,"23,062.05","23,062.05","23,062.05","25,500"
29-Dec-2021,08:00,"23,061.33",-12.66,-0.05%,"23,071.64","23,057.57","23,076.31","27,671,984"
29-Dec-2021,07:55,"23,073.99",+14.89,+0.06%,"23,062.86","23,055.99","23,077.42","34,262,845"
29-Dec-2021,07:50,"23,059.10",+9.88,+0.04%,"23,052.25","23,047.48","23,064.53","21,908,285"
29-Dec-2021,07:45,"23,049.22",+25.78,+0.11%,"23,024.65","23,021.60","23,049.57","15,247,764"
29-Dec-2021,07:40,"23,023.44",-1.84,-0.01%,"23,027.90","23,020.02","23,030.21","12,559,629"
29-Dec-2021,07:35,"23,025.28",-12.29,-0.05%,"23,037.24","23,022.29","23,037.24","13,636,173"
29-Dec-2021,07:30,"23,037.57",+4.21,+0.02%,"23,034.81","23,021.83","23,042.91","10,398,387"
29-Dec-2021,07:25,"23,033.36",-6.00,-0.03%,"23,037.16","23,033.17","23,048.92","14,326,822"
29-Dec-2021,07:20,"23,039.36",+4.55,+0.02%,"23,036.28","23,030.58","23,045.46","9,706,111"
29-Dec-2021,07:15,"23,034.81",+7.14,+0.03%,"23,025.85","23,023.57","23,039.35","8,086,910"
29-Dec-2021,07:10,"23,027.67",+6.92,+0.03%,"23,023.44","23,022.70","23,031.57","6,136,087"
29-Dec-2021,07:05,"23,020.75",-11.09,-0.05%,"23,032.66","23,008.28","23,036.52","9,384,376"
29-Dec-2021,07:00,"23,031.84",+9.00,+0.04%,"23,022.84","23,018.20","23,034.37","6,604,940"
29-Dec-2021,06:55,"23,022.84",+4.24,+0.02%,"23,018.78","23,009.45","23,022.84","5,613,361"
29-Dec-2021,06:50,"23,018.60",-10.04,-0.04%,"23,030.22","23,016.57","23,030.92","4,734,824"
